0,Passenger Plate Default,Texas,,,"Does not use the Letter “O”, only the number zero “0”.",,,,,,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?,,,,
,Purple Heart,2005-2011,Since 2012,,Y,N,N,*NOTE: DO NOT add PH to tag if not in registration characters.,Y,Y - Purple Heart appears on plate. Wheelchair logo may be present.,N,N,,,,
,Radio Operator,2002-2011,Since 2012,,Y,N,N,N,Y,Y - Radio Operator appears across top of plate.,N,N,,,,
,Razorbacks,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Read to Succeed,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Realtors,Type I,Type II,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'Working for You' at bottom.,N,N,,,,
,Red Fish,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'Coastal Conservation' at bottom.,N,N,,,,
,Register to Vote,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'Are You Registered?' at bottom.,N,N,,,,
,Remax,,,,Y,N,N,N,Y,Y- Remax logo appears on left of plate; 'GET IT SOLD WITH REMAX' at bottom.,N,N,,,,
,Remember The Alamo,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'REMEMBER' at bottom.,N,N,,,,
,Rental Trailer,1999-2011,Since 2012,,Y,N,N,N,Y,Y - Rental Trailer appears on top of plate.,Y - Trailer,N,,,,
,Rice University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'Unconventional Wisdom' at bottom of plate.,N,N,,,,
,Rotary International,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'SERVICE ABOVE SELF' at bottom.,N,N,,,,
,Sam Houston State,Type I,Type II,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,San Antonio Spurs,2010-2020,Since 2021,,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,San Jacinto Texas Historic District,,,,Y,N,N,N,Y,Y- Monument appears on left of plate.,N,N,,,,
,Save Texas Ocelots,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'Save Texas Ocelots.org' at bottom.,N,N,,,,
,Save Water,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'Save Wate. Texas!' at bottom.,N,N,,,,
,Scuba Diver,,,,Y,N,N,N,Y,Y- Scuba Divers Flag  appears on left of plate.,N,N,,,,
,Seasonal Permit,,,,Y,N,N,N,Y,Y -Seasonal Permit appears across top of plate.,N,N,,,,
,Share The Road,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'Share the Road Y'all' at bottom.,N,N,,,,
,Silver Star Medal,2008-2011,Since 2012 ,,Y,N,N,N,Y,N,N,N,,,,
,Small Star,Black ,Blue,Green,Y,N,N,N,Y,N,N,N,,,,
,Small Star,Orange,Pink,Purple,Y,N,N,N,Y,N,N,N,,,,
,Small Star,Red,Silver,,Y,N,N,N,Y,N,N,N,,,,
,Smile Texas Style,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Smokey Bears,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'PREVENT WILDFIRES' appears at the bottom of the plate.,N,N,,,,
,Sound of Freedom,,,,Y,N,N,N,Y,Y- Fighter Jet appears on left of plate.,N,N,,,,
,Southern Methodist University ,2006-2012,2013-2019,Since 2020,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Southern University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Special Olympics,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,St. Marys Universtiy,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Star of Texas,Star of Texas,,,Y,N,N,N,Y,Y - Occupation appears on tag,N,N,,,,
,State Judge,,,,Y,N,N,N,Y,Y- State Judge appears at top of the plate.,N,N,,,,
,State of the Arts,,,,Y,N,N,N,Y,Y- Star logo appears on left of plate; 'STATE OF THE ARTS' appears at the bottom of the plate.,N,N,,,,
,State Official ,,,,Y,N,N,N,Y,Y- State Official appears at top of the plate.,N,N,,,,
,State Parks Blue Bonnet ,,,,Y,N,N,N,Y,Y- Blue Bonnet appears on left of plate; 'TEXAS STATE PARKS' appears at the bottom of the plate.,N,N,,,,
,Stephen F. Austin State University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Stop Child Abuse,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Stop Human Trafficking,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'report:iWatchTX.org' appears at the bottom of the plate.,N,N,,,,
,Street Rod,,,,Y,N,N,N,Y,N,N,N,,,,
,Support Cancer Research,,,,Y,N,N,N,Y,"Y- 'A ""FINE"" cause for UNKNOWN CANCER"" appears on left of plate; 'SUPPORT CANCER RESEARCH & EDUCATION' appears at the bottom of the plate.",N,N,,,,
,T for Texas,,,,Y,N,N,N,Y,N,N,N,,,,
,Take Care of Texas,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'TakeCareOfTexas.org' appears at the bottom of the plate.,N,N,,,,
,Tarleton State University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Teachers,Classroom Teachers,Retired Teacher,,Y,N,N,N,Y,N,N,N,,,,
,Temporary Texas Buyer/ Dealer,Buyer,Dealer,,Y,N,N,N,Y,Y - preprinted or electronic printed paper tags. Do not accept hand written tags.,N,N,,,,
,Temporary Texas Converter,,,,Y,N,N,N,Y,Y - preprinted or electronic printed paper tags. Do not accept hand written tags.,N,N,,,,
,Temporary,,,,Y,N,N,N,Y,Y - preprinted or electronic printed paper tags. Do not accept hand written tags.,N,N,,,,
,Texas 2000,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas 4 Ever,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas Black 1845,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas Christian University,2006-2010,2011-2016,Since 2017,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Texas Ex,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Texas Fort Worth Zoo,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'www.fortworthzoo.org' appears at the bottom of the plate.,N,N,,,,
,Texas Guard ,,,,Y,N,N,N,Y,Y - Militiaman logo. Texas Guard appears across bottom of plate.,N,N,,,,
,Texas is Home,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Texas Masons,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Texas Medical Center,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Texas Music,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Texas Parks and Wildlife,Camping,Largemouth Bass,Quail,Y,N,N,N,Y,Y- Named logo appears on left of plate.,N,N,,,,
,Texas Parks and Wildlife,Roadrunner,,,Y,N,N,N,Y,Y- Named logo appears on left of plate.,N,N,,,,
,Texas Pride,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas Rangers,Type I,Type II,,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,Texas Reads,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Texas Rivers,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas Southern University,2006-2014,Since 2015,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Texas State Rifle Association,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Texas State University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Texas Sunshine,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas Tech University,2006-2019,Since 2020,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Texas Tough,Black ,Gray,,Y,N,N,N,Y,N,N,N,,,,
,Texas Trails,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas Trees,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas Trophy Hunters Association,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Texas Vintage,Black,Blue,Pink,Y,N,N,N,Y,N,N,N,,,,
,Texas Vintage,White,,,Y,N,N,N,Y,N,N,N,,,,
,Texas White ,,,,Y,N,N,N,Y,N,N,N,,,,
,Texas Wildflowers,,,,Y,N,N,N,Y,N,N,N,,,,
,Token Trailer,2002-2011,Since 2012,,Y,N,N,N,Y,Y- Token Trailer appears at top of the plate.,N,N,,,,
,Tomb Guard,,,,Y,N,N,N,Y,N,N,N,,,,
,Tow Truck,,,,Y,N,N,N,Y,Y - Tow Truck appears across top of plate.,Y - Wrecker/Roll back /Tow trucks,N,,,,
,Trailer,1989-2004,2005-2011,Since 2012,Y,N,N,N,Y,Y - Trailer appears on top of plate.,Y - Trailer,N,,,,
,Travel Trailer,1999-2004,2005-2011,Since 2012,Y,N,N,N,Y,Y -Travel trailer appears on top of plate.,Y - Trailer,N,,,,
,Truck,1989-1998,1999-2008,Since 2009,Y,N,N,N,Y,Y - Truck appears on top of plate.,N,N,,,,
,United We Stand,,,,Y,N,N,N,Y,N,N,N,,,,
,University of Alabama,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'ROLL TIDE ROLL' at bottom.,N,N,,,,
,University of Colorado,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'ForeverBuffs' at bottom.,N,N,,,,
,University of Georgia,2016-2018,Since 2019 ,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'UGA BULLDOGS' at bottom.,N,N,,,,
,University of Huston,2005-2015,Since 2016,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,University of Iowa,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'HAWKEYES' at bottom.,N,N,,,,
,University of Kansas,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'JAYHAWKS' at bottom.,N,N,,,,
,University of Louisiana,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'RAGIN' CAJUNS' at bottom.,N,N,,,,
,University of Michigan,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'GO BLUE' at bottom.,N,N,,,,
,University of Mississippi,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'HOTTY TODDY' at bottom.,N,N,,,,
,University of Missouri,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'MIZZOU' at bottom.,N,N,,,,
,University of Nebraska,2014-2018,Since 2019,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'HUSKERS' at bottom.,N,N,,,,
,University of North Texas,2005-2013,Since 2014,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,University of Oklahoma,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'BOOMER SOONER' at bottom.,N,N,,,,
,University of St. Thomas,2005-2019,Since 2020,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,University of  Texas at Arlington,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,University of  Texas at Austin,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,University of  Texas at Dallas,2016-2019,Since 2020,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,University of  Texas at El Paso,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,University of  Texas at Rio Grand Valley,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,University of  Texas ,Black,Orange,Tower,Y,N,N,N,Y,Y- School logo appears on left of plate; 'HOOK'EM HOORNS' at bottom.,N,N,,,,
,University of  Virginia,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'WAHOOWA' at bottom.,N,N,,,,
,US Air Force ,Regular,Retired,,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,US Army ,,,,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,US Coast Guard,Regular,Retired,,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,US Marine Corps,,,,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,US Naval Academy,,,,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,US Navy,,,,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,USA Pride ,,,,Y,N,N,N,Y,Y- American Flag logo appears on left of plate; 'FREEDOM' at the bottom.,N,N,,,,
,Vietnam Service Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Vietnam Era Veteran,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Vietnam Veteran,,,,Y,N,N,N,Y,N,N,N,,,,
,Virginia Tech University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'Let's Go… Hokies!' at bottom.,N,N,,,,
,West Point,2005-2012,Since 2013 ,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,West Texas A&M University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Western Yoke,Black,White,,Y,N,N,N,Y,Y- 'ESTd 1845'  appears on bottom of plate.,N,N,,,,
,Wetland Conservation Blue Heron,,,,Y,N,N,N,Y,Y- Blue Heron logo appears on left of plate.,N,N,,,,
,Woman Veteran,,,,Y,N,N,N,Y,Y- Woman Veteran logo appears on left of plate.,N,N,,,,
,World Wildlife Panda,,,,Y,N,N,N,Y,Y- Panda logo appears on left of plate; 'worldwildlife.org' at bottom.,N,N,,,,
,Yellow Rose of Texas,,,,Y,N,N,N,Y,Y- Yellow Rose logo appears on left of plate.,N,N,,,,
,YMCA,,,,Y,N,N,N,Y,Y- YMCA logo appears on left of plate; 'SPIRIT - MIND - BODY' at bottom.,N,N,,,,
,,,,,,,,,,,,,,,,
